[2025-04-24 23:46:10] INFO | uav_logger | Lancement du script : attacks/gps_spoofing.py
[2025-04-24 23:58:34] INFO | uav_logger | Injection GPS Spoof #13 : Latitude=48.857856005081175, Longitude=2.375816731914074, Altitude=23.93643010845419
[2025-04-24 23:58:34] INFO | uav_logger | GPS normal : 48.85003, 2.35005
[2025-04-24 23:58:35] INFO | uav_logger | GPS normal : 48.85000, 2.35017
[2025-04-24 23:58:35] INFO | uav_logger | Injection GPS Spoof #14 : Latitude=48.94362072937292, Longitude=2.2459907878212975, Altitude=23.09515677802688
[2025-04-24 23:58:36] WARNING | uav_logger | Anomalie détectée ! Δ=0.03109 | GPS: 48.87851, 2.36258
[2025-04-24 23:58:37] INFO | uav_logger | Injection GPS Spoof #15 : Latitude=48.831722561328185, Longitude=2.347488228439194, Altitude=26.583024266772465
[2025-04-24 23:58:37] WARNING | uav_logger | Anomalie détectée ! Δ=0.03126 | GPS: 48.84991, 2.34994
[2025-04-24 23:58:38] INFO | uav_logger | GPS normal : 48.84992, 2.35012
[2025-04-24 23:58:38] INFO | uav_logger | Injection GPS Spoof #16 : Latitude=48.927858110555086, Longitude=2.3364389555055247, Altitude=23.972977451554343
[2025-04-24 23:58:39] INFO | uav_logger | GPS normal : 48.85011, 2.34981
[2025-04-24 23:58:40] INFO | uav_logger | Injection GPS Spoof #17 : Latitude=48.83208067052995, Longitude=2.4598554955203227, Altitude=28.53048146658494
[2025-04-24 23:58:40] INFO | uav_logger | GPS normal : 48.84993, 2.34994
[2025-04-24 23:58:41] INFO | uav_logger | GPS normal : 48.85017, 2.35016
[2025-04-24 23:58:41] INFO | uav_logger | Injection GPS Spoof #18 : Latitude=48.90542561757375, Longitude=2.234697966566416, Altitude=20.162970643819293
[2025-04-24 23:58:42] INFO | uav_logger | Lancement du script : attacks/dos_attack.py
[2025-04-24 23:58:42] INFO | uav_logger | Début de l'attaque DoS UDP...
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #1 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #2 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #3 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #4 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #5 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #6 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #7 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #8 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #9 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #10 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #11 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | GPS normal : 48.84999, 2.35007
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #12 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #13 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:42] INFO | uav_logger | Paquet DoS #14 envoyé à 192.168.0.100:14550
